,Id,labels
0,uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,6aGn2X51bahFoOI8wE1h2VGTgcH.jpg,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,obpPQskaVpSiC9RcJRB6iWDTCXS.jpg,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
12,dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
14,hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,4TS5O1IP42bY2BvgMxL156EENy.jpg,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
